,Time,ch0z,ch1z,complete_dose,smoothdose,Z
59,17.047908,0.0074449386344813346,0.0027600534575137497,0.005610903257729162,0.005610903257729162,228.36843466887828
60,17.170127,0.007204617676790578,0.002610319266796128,0.0056616032888905194,0.0056616032888905194,227.25765377489856
61,17.292346,0.0075901814904520025,0.0027425718007294646,0.005688367470427609,0.005688367470427609,225.8432561997225
62,17.414561,0.007419718062440766,0.0027413971439494865,0.005719177029043634,0.005719177029043634,224.49889021103783
63,17.536777999999998,0.007568623083666633,0.0025150338727031006,0.005752697655879419,0.005752697655879419,223.45369473040975
64,17.658991999999998,0.007727201748962863,0.0026472864066364294,0.005806334047166433,0.005806334047166433,222.0473894476433
65,17.781202999999998,0.007657551511656281,0.002588691762553114,0.0058540551185974924,0.0058540551185974924,220.6143038965961
66,17.90341,0.007718149982011309,0.0027780878939591956,0.005901996705142247,0.005901996705142247,219.52967339672455
67,18.025637,0.007598818672657677,0.0029837219279119595,0.005957032276678761,0.005957032276678761,218.2364949075765
68,18.147855,0.007910931888842032,0.0028243831905816375,0.006002584806499047,0.006002584806499047,217.01003048613785
69,18.270074,0.007846325765943567,0.0026798313091874163,0.006039614512496197,0.006039614512496197,215.5912482894121
70,18.39229,0.00802204060073586,0.0027750476058228044,0.006063914890623989,0.006063914890623989,214.48962965120603
71,18.514503,0.007811431549832624,0.0027875542456566216,0.006098601724444042,0.006098601724444042,213.1865574713712
72,18.636719,0.00812368296093227,0.002766272228701837,0.006146418641199673,0.006146418641199673,211.7375673903816
73,18.758937,0.008254829935543266,0.002807868898204375,0.006195366275530835,0.006195366275530835,210.5776998678158
74,18.881151,0.008117187799913602,0.0030657406101370697,0.006238356077739218,0.006238356077739218,209.3494612729997
75,19.003376,0.008131836460934426,0.002908751186366684,0.006272990326153686,0.006272990326153686,207.94347960385144
76,19.12557,0.008297532164368135,0.0029844129024884135,0.006310855587914245,0.006310855587914245,206.784062173554
77,19.24777,0.008370084494895826,0.0029540791185820804,0.00634851150944566,0.00634851150944566,205.40116381917687
78,19.369979,0.008330284359292063,0.003065049635560616,0.006384811926244456,0.006384811926244456,204.13624415930792
79,19.492185,0.008265194554190084,0.0027457502837811504,0.006423552373250019,0.006423552373250019,202.91208418008648
80,19.61441,0.008294284583858806,0.0028594846990655084,0.0064748708755152234,0.0064748708755152234,201.61426243119465
81,19.736628,0.008483888007637828,0.002875791699069824,0.006531816859596143,0.006531816859596143,200.28491741054592
82,19.858849,0.00841893639745114,0.0029281675719650515,0.006575643262766866,0.006575643262766866,198.9994698977178
83,19.981067,0.008605084948347896,0.0030155758558865027,0.0066189062739795785,0.0066189062739795785,197.79470481105187
84,20.103275,0.008741552427197596,0.002996090372830495,0.006665394868068111,0.006665394868068111,196.5705864160941
85,20.225492,0.008637007973780073,0.00293383356349197,0.006722569955859885,0.006722569955859885,195.1445311878004
86,20.347694,0.008929635706908422,0.00299208272028706,0.006773908891110324,0.006773908891110324,194.03937523871187
87,20.469899,0.008659810134803065,0.0027337964236084913,0.006818637819768217,0.006818637819768217,192.66250166448825
88,20.592113,0.008680539372096695,0.003166346508468801,0.006869432305791206,0.006869432305791206,191.32767822831863
89,20.714338,0.009104244982378388,0.0031418169110046844,0.006919361505157277,0.006919361505157277,190.16974480086785
90,20.836536,0.00908054455440601,0.0029864167287601325,0.006981070231151351,0.006981070231151351,188.89580653382333
91,20.958753,0.008913466901819395,0.0030257331821603797,0.007037083992261297,0.007037083992261297,187.5357807524936
92,21.080978,0.009235461054447038,0.003227566855942639,0.0070837417128148394,0.0070837417128148394,186.21184914209263
93,21.203192,0.009047308677278567,0.0032073903983101774,0.007130148456387924,0.007130148456387924,185.0107530359631
94,21.325419,0.009245963868009143,0.002876482673646281,0.007178812183091645,0.007178812183091645,183.7838148806839
95,21.447646,0.009311330062941704,0.0031165963389640982,0.007238250604746466,0.007238250604746466,182.4100191675143
96,21.569874,0.009484695584174052,0.0030352686313154446,0.007297585835688954,0.007297585835688954,181.229652634158
97,21.692096,0.00949865327061843,0.0030946233474328597,0.007353250984003648,0.007353250984003648,180.00150484585097
98,21.814302,0.009475229232476637,0.003339297444955283,0.0074306461139652625,0.0074306461139652625,178.5741562998229
99,21.936528,0.00938070391041771,0.003298115360198614,0.00750436249625849,0.00750436249625849,177.45307879641203
100,22.058741,0.009599742851153687,0.0029636836651948,0.007580840307977273,0.007580840307977273,176.1396005159168
101,22.18095,0.00977338476221661,0.0032106379788195212,0.00762591322469774,0.00762591322469774,174.78744693914885
102,22.303167,0.009807311613920512,0.0031382929406647696,0.007666423527258103,0.007666423527258103,173.61972781353057
103,22.425382,0.010016331423297895,0.0032034518432243987,0.0077038007000181,0.0077038007000181,172.22345483197188
104,22.54759,0.009935418300395118,0.0030827385847178547,0.007755422478987653,0.007755422478987653,170.9966356261975
105,22.669788,0.009979156991084663,0.003046393321996364,0.007809476640941923,0.007809476640941923,169.57837998485385
106,22.791997,0.010052814880934683,0.003255136741543171,0.007872999709520972,0.007872999709520972,168.44909983004504
107,22.914209,0.009975218435998877,0.003412955334805304,0.007938154326647602,0.007938154326647602,167.1741197957927
108,23.036428,0.01003968636398206,0.0032018626016985493,0.007988020077841001,0.007988020077841001,165.85832483838092
109,23.158642,0.01015390446146993,0.003555227000097211,0.008021851317338855,0.008021851317338855,164.66613684502218
110,23.280855,0.010149136736892397,0.0034325790127765926,0.008077323147962232,0.008077323147962232,163.34291484218858
111,23.403075,0.01033265958439862,0.0031919816652552528,0.008153359905330672,0.008153359905330672,162.07638059481712
112,23.525296,0.010646016554820583,0.0033684565720816513,0.008240643287930427,0.008240643287930427,160.7618741789912
113,23.647509,0.010779236453160947,0.0033323876991907453,0.008290744434996401,0.008290744434996401,159.4982021261566
114,23.76973,0.010551145745473441,0.003382068771237799,0.008344576681839683,0.008344576681839683,158.13347750004405
115,23.89195,0.010844602648093511,0.0034205560551462963,0.008402491680366803,0.008402491680366803,157.05153738376336
116,24.014171,0.010634753669224398,0.003555296097554851,0.008459262599341738,0.008459262599341738,155.74366405215434
117,24.136386,0.01064021236837838,0.0035807239619683687,0.008498925821303627,0.008498925821303627,154.34972085599676
118,24.258591,0.010881569787933816,0.003470997199227453,0.008524518306595496,0.008524518306595496,152.91972500321728
119,24.380791,0.011044363398146418,0.003501538275506723,0.008560896403256345,0.008560896403256345,151.88843832310468
120,24.502983,0.010988739944741862,0.0035039566865243204,0.00860411115917858,0.00860411115917858,150.57029123715742
121,24.625195,0.010955987749817932,0.003464985720412296,0.008661897249333939,0.008661897249333939,149.23603708559904
